,username,text,retweet_count
82,Siajapul,"Sederet Menteri Era Jokowi Yang Terjerat Kasus Korupsi :

1. Mantan  Menpora Imam Nahrawi
2. Mantan Menteri Sosial… https://t.co/ZDmukA1ETP",0
83,windryramadhina,"RT @septian: Sekadar mengingatkan: hasil uji klinis fase 3 Sinovac belum ada, dan selama hasilnya belum ada, @BPOM_RI belum dapat mengevalu…",0
84,edi8988,"@addiems setuju bang
bu risma cocok,jujur,

ngarep banget @jokowi",0
85,hiroshiumeda,"RT @KetumProDEM: Saya lihat @KPK_RI kerjanya hanya intil² dan intip² suap²an. Hanya akan menangkap yang teledor.

@KPK_RI mestinya menangka…",0
86,Wahyu01003,"RT @YokuSebastian: Ada 8300 warga negara indonesia tercinta yang di PHK secara tidak adil,tapi bapak2 diam seperti orang bisu,sejak 2017 sa…",0
87,nardi_edo,@Donihendarto @Miduk17 akun anonim jgn dilayani bro....yg gk suka jokowi kebanyakan anonim,0
88,Bpribas1,@Dennysiregar7 @jokowi Mau korupsi yg gede kagak ada peluangnya adanya receh2 penting lumintu.,0
89,Aragornarwen45,"RT @idtodayco: Haris Rusli Moty: Sulit Dibantah, Kabinet Jokowi Sarang Koruptor https://t.co/nHdyX4G2lr",0
90,RoyArland,"RT @tempodotco: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerahan…",0
91,_ungee,"RT @ariel_heryanto: Bapak Presiden kog gitu sih ngomongnya? 

Seakan-akan beliau sama sekali nggak merasa ikutan bersalah pada masyarakat,…",0
92,arif_misbakul,"RT @idtodayco: Haris Rusli Moty: Sulit Dibantah, Kabinet Jokowi Sarang Koruptor https://t.co/nHdyX4G2lr",0
93,FNursni,@OposisiCerdas Pemimpin harus tegas dan punya komitmen. Salut dgn bapak Presiden Jokowi,0
94,primusder,"RT @jokowi: Semenjak dari awal, saya mengingatkan para menteri Kabinet Indonesia Maju: jangan korupsi!

Karena itulah, terkait penetapan Me…",0
95,denmasNgHansep,"RT @tolakbigotnkri: Untuk menyampaikan informasi tentang Pilkada serentak, Kominfo melalui Kelompok Informasi Masyarakat (KIM) turut meliba…",0
96,ebithEBITH,"Tiba doang.
Yang lain lain (bisa digunakan atau tidaknya) tunggu para ahli mengomentari....",0
97,QalbuBahasa,"RT @zonk_brain: @GabusR3b0Rn @dio_nga @ArdianZA__ @QalbuBahasa @KemensosRI @jokowi @4ntoniusC @supermansantai3 @PerahuBambu Yang begitu 
di…",0
98,aseppujisantoso,"RT @tempodotco: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerahan…",0
99,HRobertSdryono,"Pilih menteri asal-asalan.
Tanggung jawab di akhirat nggak semudah lepas tangan spt di dunia",0
100,ExBulletinUk,"Two corruption ministers, it’s time for Jokowi to clean up the cabinet https://t.co/kqmCV6921c",0
101,Ary4k4m4nd4nu,"RT @HukumDan: Jadi kepikiran juga
Dana Bansos saja masih mau di sikat. Bisa jadi urusan vaksin jadi ajang korupsi juga toh. 
Siapa yang bis…",0
102,akunjuang,RT @jayapuraupdate: Baca reply2 di berita ini.. saya Pikir seandainya Tuhan yg kritik @jokowi pun Tuhan akan dimaki sama mereka juga.,0
103,BrandenBernabeu,"RT @AdhieMassardi: MENTERI TERBALIK 》 Direktur Eksekutif Charta Politika Yunarto Wijaya mengatakan, nama Juliari masuk 7 besar menteri terb…",0
104,arti_desain,"RT @detikcom: Indonesia menerima kedatangan 1,2 juta dosis vaksin Covid-19 buatan Sinovac yang tiba dari China pada Minggu (6/12) malam di…",0
105,RoyArland,"RT @idtodayco: Haris Rusli Moty: Sulit Dibantah, Kabinet Jokowi Sarang Koruptor https://t.co/nHdyX4G2lr",0
106,bhaja27,RT @jayapuraupdate: Yang goblok itu influencer wannabe macam ko.. mengaku foodvlogger dengan pd nya promosi endorse tpi follower cuma 2 dig…,0
107,Sastra50562743,"@OkyPras18 @jokowi Kan dia masih ada relasi, masih ada geng mereka, melarat 1-2 bulan aja paling, kalo cuman sistem… https://t.co/2rf9ow6DtB",0
108,tribunnews,"TERHITUNG 4 MENTERI JOKOWI JADI TERSANGKA KORUPSI

Kabar terbaru, Mensos Juliari P Batubara, ditetapkan sebagai ter… https://t.co/OQzJdg1jag",0
109,kopitem3,bisa dipaparkan mana hasil ujicobanya? tentunya dengan standar uji yang berlaku internasional ya...,0
110,RBiasa2aja,@Macan2k @digeeembokFC @jokowi Biarkan dia Di pertamina.. saya malah setuju bu risma Walikota surabaya di Posisi me… https://t.co/lrVbVfCEG7,0
111,gumilangangga,"RT @ariel_heryanto: Bapak Presiden kog gitu sih ngomongnya? 

Seakan-akan beliau sama sekali nggak merasa ikutan bersalah pada masyarakat,…",0
112,haratnya,"RT @demokrasicoid: Haris Rusli Moty: Sulit Dibantah, Kabinet Jokowi Sarang Koruptor - Follow @demokrasicoid  https://t.co/TJNOPxLr1k",0
113,Mfajarsultan,"Justru berkat jokowi kpk bisa menangkap koruptor, gitu cebongerrp narasinya sekarang",0
114,makkece21,"RT @tempodotco: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerahan…",0
115,DyaPutro,"RT @temponewsroom: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerah…",0
116,iksanslank,"Ketika pelaku korupsi, seorang mentri, dri golongan manapun menterinya selalu yang disalhkan menterinya partainya,… https://t.co/fmXuKTZ8eV",0
117,KsepuluhN,"RT @tempodotco: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerahan…",0
118,bajry_salman,"RT @AndreasMarbun_: tanggung jawab pemberantasan korupsi ada di Presiden, bukan di KPK.. 

Saya tidak memilih ketua KPK untuk memberantas k…",0
119,pitapuspitta,"iya e,ra iso entek tikus e..",0
120,Baracuda1818,"RT @DTanjung15: Penangkapan Eddy Prabowo dan Juliari Batubara itu bentuk Pengalihan Issue Kasus Rizik Sihab
Sang pembuat skenario tentu CAP…",0
121,LilisSu13935131,"RT @jokowi: Keluarga ibarat dahan-dahan pohon: tumbuh bercabang ke arah yang berbeda, namun akarnya tetap sama jua. Dan pandemi ini membuat…",0
122,nugraharmdhn,"RT @septian: Sekadar mengingatkan: hasil uji klinis fase 3 Sinovac belum ada, dan selama hasilnya belum ada, @BPOM_RI belum dapat mengevalu…",0
123,Plembang23132,"@jokowi hukum mati pakde, disaat org byk susah di memperkaya diri",0
124,taslimcoy,"RT @digeeembokFC: Era Jokowi: 
2 Menteri Sosial Kena.

Menteri Sosial mendingan ganti aja jadi Menteri Give Away.
Ayyy dukung Baim Wong yg…",0
125,dumbledokyungso,"RT @septian: Sekadar mengingatkan: hasil uji klinis fase 3 Sinovac belum ada, dan selama hasilnya belum ada, @BPOM_RI belum dapat mengevalu…",0
126,tribunnews,"TERHITUNG 4 MENTERI JOKOWI JADI TERSANGKA KORUPSI

Kabar terbaru, Mensos Juliari P Batubara, ditetapkan sebagai ter… https://t.co/gKIUuMq1wt",0
127,akhirzaman78,"RT @alexander_murfi: Mensos Juliari Peter Korupsi Bantuan Covid, MUI Dukung Hukuman Mati

Kalau tidak dihukum mati berarti dilindungi jokow…",0
128,0nc075,"RT @idtodayco: Haris Rusli Moty: Sulit Dibantah, Kabinet Jokowi Sarang Koruptor https://t.co/nHdyX4G2lr",0
129,didikk45,"RT @detikcom: Pemerintah Indonesia menerima 1,2 juta vaksin Sinovac dari China. Presiden Jokowi menegaskan vaksinasi menunggu izin emergenc…",0
130,dedstea,EBONI..Eeee Botak Nipu,0
131,supri_selo,@singkong_kolak @jokowi https://t.co/MU7hUKOGIU,0
132,Max91014816,"RT @idtodayco: Haris Rusli Moty: Sulit Dibantah, Kabinet Jokowi Sarang Koruptor https://t.co/nHdyX4G2lr",0
133,Wahyu01003,"RT @albertsamuel28: Ternyata sudah ada kawan yang buat utas terkait mogok kerja karyawan freeport.

Mohon dukungan kawan-kawan untuk bantu…",0
134,Siwiliwili1,"RT @alexander_murfi: Mensos Juliari Peter Korupsi Bantuan Covid, MUI Dukung Hukuman Mati

Kalau tidak dihukum mati berarti dilindungi jokow…",0
135,ebithEBITH,Baca isi beritanya deh..  Jangan cuma judulnya doang....,0
136,item59,"RT @idtodayco: Haris Rusli Moty: Sulit Dibantah, Kabinet Jokowi Sarang Koruptor https://t.co/nHdyX4G2lr",0
137,Plembang23132,"@singkong_kolak @jokowi rijik aja nga pernah ikuti aturan,  akhlak dr arabbbbbb",0
138,litarizkikaa,"RT @septian: Sekadar mengingatkan: hasil uji klinis fase 3 Sinovac belum ada, dan selama hasilnya belum ada, @BPOM_RI belum dapat mengevalu…",0
139,mat_nurudin,RT @jayapuraupdate: Baca reply2 di berita ini.. saya Pikir seandainya Tuhan yg kritik @jokowi pun Tuhan akan dimaki sama mereka juga.,0
140,Rockgar12,"@Rifqizuhdi281 @AnakKolong_ @KPK_RI @jokowi Dogol loe,otak loe sdh kopong. Anjay!",0
